,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,0,0,0,0,3,1,0,0,51,1,0,1,0.3,0.3,0.3,9,2,33,41,2,40,4,1
1,Gabriel Jesus,1,0,0,0,4,3,0,0,39,2,0,1,1.4,1.4,0.1,1,0,18,21,1,30,3,1
2,Gabriel Martinelli,0,1,0,0,3,1,1,0,62,2,0,1,0.1,0.1,0.2,4,0,37,48,7,44,5,4
