,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,3,2,2,1,0,3,0,0,0,0
1,Gabriel Magalhães,1,0,0,0,1,0,0,1,1,0
2,Oleksandr Zinchenko,1,1,1,0,0,1,1,0,0,0
3,William Saliba,3,2,2,1,0,3,1,0,0,0
