,player,cmp,att,totdist,prgdist
0,Bukayo Saka,18,24,255,45
1,Gabriel Martinelli,24,33,352,48
2,Granit Xhaka,25,35,384,178
3,Martin Ødegaard,17,23,289,135
4,Thomas Partey,42,45,815,318
