,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,1,1,1,0,0,1,0,3,0,3
1,Gabriel Magalhães,2,0,0,1,1,1,0,5,3,2
2,Oleksandr Zinchenko,1,0,0,1,0,3,2,1,1,0
3,Rob Holding,1,0,1,0,0,0,0,1,1,0
