,player,cmp,att,totdist,prgdist
0,Bukayo Saka,22,34,296,95
1,Gabriel Martinelli,23,29,356,102
2,Granit Xhaka,31,38,562,157
3,Martin Ødegaard,24,29,429,60
4,Thomas Partey,29,36,428,138
