,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Gabriel Magalhães,0,0,0,0,0,0,0,0,0,0
1,Oleksandr Zinchenko,4,3,2,2,0,4,0,0,0,0
2,Takehiro Tomiyasu,1,1,1,0,0,0,0,2,0,2
3,William Saliba,1,1,0,1,0,0,0,0,0,0
