,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,1,0,0,1,0,1,0,0,0,0
1,Gabriel Magalhães,0,0,0,0,0,0,0,2,1,1
2,Oleksandr Zinchenko,2,1,1,1,0,0,0,2,1,1
3,Rob Holding,2,1,1,1,0,1,0,1,0,1
4,Thomas Partey,3,2,0,2,1,3,1,0,0,0
