,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,0,0,0,0,1,1,0,0,65,1,0,0,0.1,0.1,0.1,3,0,42,55,3,37,5,1
1,Gabriel Jesus,0,0,0,0,4,2,1,0,41,1,0,0,0.3,0.3,0.1,2,0,18,24,1,29,0,0
