,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,1,0,0,1,0,1,0,0,0,0
1,Gabriel Magalhães,0,0,0,0,0,0,0,2,1,1
2,Jakub Kiwior,0,0,0,0,0,0,0,0,0,0
3,Thomas Partey,1,0,0,1,0,0,0,0,0,0
