,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,3,1,1,1,1,4,1,0,0,0
1,Gabriel Magalhães,1,1,1,0,0,0,0,2,1,1
2,Gabriel Martinelli,0,0,0,0,0,1,1,1,0,1
3,Oleksandr Zinchenko,0,0,0,0,0,0,0,0,0,0
4,William Saliba,2,1,2,0,0,2,0,0,0,0
