,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,5,0,2,3,0,6,2,4,2,2
1,Gabriel Magalhães,3,3,3,0,0,2,1,4,4,0
2,Takehiro Tomiyasu,1,1,0,0,1,1,0,1,0,1
3,William Saliba,2,1,2,0,0,1,0,1,1,0
