,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,1,1,0,1,0,2,1,6,0,6
1,Gabriel Magalhães,1,1,1,0,0,0,0,1,0,1
2,Oleksandr Zinchenko,2,1,1,1,0,1,1,0,0,0
3,William Saliba,2,0,1,1,0,1,0,0,0,0
