,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,0,0,0,0,1,0,0,0,55,1,3,0,0.0,0.0,0.2,3,1,36,41,2,41,6,2
1,Gabriel Jesus,0,1,0,0,2,0,1,0,42,2,1,2,0.1,0.1,0.3,4,0,19,21,3,20,1,2
2,Gabriel Martinelli,0,0,0,0,4,1,0,0,34,1,0,1,0.4,0.4,0.0,4,2,15,21,2,24,3,1
