,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,0,0,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.1,5,1,28,35,4,34,5,1
1,Gabriel Martinelli,1,0,0,0,4,2,0,0,36,0,0,1,1.0,1.0,0.2,3,1,20,26,2,29,1,1
2,Leandro Trossard,0,3,0,0,2,1,0,0,47,1,1,2,0.2,0.2,1.0,2,2,29,41,4,31,2,1
