,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,1,1,0,1,0,0,0,1,1,0
1,Gabriel Magalhães,1,1,0,1,0,1,0,2,0,2
2,Takehiro Tomiyasu,2,1,0,1,1,1,0,0,0,0
3,William Saliba,2,2,1,1,0,2,0,0,0,0
