,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,0,1,0,0,1,0,0,0,22,0,0,1,0.2,0.2,0.2,5,1,15,20,2,13,3,0
1,Gabriel Jesus,0,2,0,0,7,3,0,0,62,3,1,1,0.7,0.7,0.6,6,2,36,45,2,32,1,0
2,Gabriel Martinelli,1,0,0,0,2,1,0,0,34,0,2,1,0.3,0.3,0.0,5,1,21,25,6,24,4,0
