,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,0,0,0,0,2,0,0,0,61,2,1,2,0.1,0.1,0.1,4,0,28,42,2,28,2,3
1,Gabriel Martinelli,1,0,0,0,2,1,1,0,53,0,0,2,0.2,0.2,0.0,0,0,38,44,5,38,5,0
2,Leandro Trossard,0,1,0,0,2,0,0,0,34,1,1,0,0.1,0.1,0.1,3,1,21,27,4,24,0,2
