,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,0,0,0,0,0,1,1,0,0,0
1,Gabriel Magalhães,1,0,0,1,0,0,0,2,0,2
2,Jakub Kiwior,2,2,2,0,0,2,1,1,1,0
3,Thomas Partey,2,1,0,2,0,0,0,2,0,2
