,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,0,0,0,0,0,0,0,0,0,0
1,Gabriel Magalhães,1,1,1,0,0,0,0,0,0,0
2,Kieran Tierney,2,0,1,1,0,1,1,1,0,1
3,William Saliba,1,0,0,0,1,0,0,1,0,1
