,player,cmp,att,totdist,prgdist
0,Bukayo Saka,39,49,618,119
1,Gabriel Martinelli,29,42,527,188
2,Granit Xhaka,47,60,906,248
3,Martin Ødegaard,61,73,1055,398
4,Mohamed Elneny,51,52,918,176
