,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,2,2,0,2,0,2,0,4,1,3
1,Gabriel Magalhães,3,2,0,2,1,2,0,2,0,2
2,Kieran Tierney,0,0,0,0,0,0,0,2,1,1
3,William Saliba,1,1,0,1,0,1,0,0,0,0
