,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Gabriel Magalhães,0,0,0,0,0,0,0,1,1,0
1,Oleksandr Zinchenko,2,1,2,0,0,2,0,0,0,0
2,Takehiro Tomiyasu,3,1,2,0,1,3,2,0,0,0
3,William Saliba,1,0,1,0,0,0,0,0,0,0
