,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,0,1,0,0,7,2,0,0,58,1,0,0,0.3,0.3,0.7,7,1,37,46,6,44,4,2
1,Eddie Nketiah,0,0,0,0,1,0,0,0,40,0,0,1,0.0,0.0,0.1,3,0,24,32,4,23,4,1
2,Gabriel Martinelli,0,0,0,0,3,1,0,0,47,0,0,0,0.2,0.2,0.0,3,0,33,41,2,38,2,0
