,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,1,1,0,1,0,0,0,0,0,0
1,Gabriel Magalhães,3,1,3,0,0,0,0,2,0,2
2,Oleksandr Zinchenko,2,1,1,1,0,1,0,1,0,1
3,William Saliba,0,0,0,0,0,0,0,0,0,0
