,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,0,0,0,0,0,1,1,1,0,1
1,Gabriel Magalhães,0,0,0,0,0,0,0,1,1,0
2,Oleksandr Zinchenko,1,1,0,1,0,3,2,1,0,1
3,William Saliba,0,0,0,0,0,0,0,0,0,0
