,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,1,1,0,0,3,1,0,0,54,1,0,4,0.4,0.4,0.5,3,1,27,39,1,35,3,1
1,Gabriel Martinelli,2,0,0,0,3,2,0,0,49,1,1,0,0.9,0.9,0.2,2,0,34,38,1,30,0,0
2,Leandro Trossard,0,1,0,0,1,0,0,0,33,1,0,0,0.2,0.2,0.5,1,1,19,28,2,21,6,1
