,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,1,0,0,1,0,3,2,1,1,0
1,Gabriel Magalhães,4,4,3,1,0,3,0,1,1,0
2,Granit Xhaka,1,1,1,0,0,1,0,0,0,0
3,Kieran Tierney,2,2,1,1,0,2,0,1,1,0
4,Rob Holding,0,0,0,0,0,1,1,2,2,0
