,player,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,prgp,carries,prgc,succ
0,Bukayo Saka,1,0,0,0,1,1,0,0,49,2,0,2,0.7,0.7,0.7,5,0,29,38,4,32,1,0
1,Eddie Nketiah,1,0,0,0,4,1,0,0,35,1,0,0,0.5,0.5,0.0,0,0,22,24,1,23,4,0
2,Gabriel Martinelli,1,0,0,0,1,1,0,0,43,1,0,0,0.1,0.1,0.0,2,0,21,37,2,32,4,1
