,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,8,5,4,3,1,8,2,4,1,3
1,Gabriel Magalhães,1,0,0,1,0,1,1,2,2,0
2,Oleksandr Zinchenko,5,1,1,3,1,5,3,0,0,0
3,William Saliba,1,0,1,0,0,1,0,2,1,1
