,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,1,0,0,0,1,2,2,1,0,1
1,Gabriel Magalhães,0,0,0,0,0,1,1,0,0,0
2,Oleksandr Zinchenko,4,2,0,0,4,3,0,3,0,3
3,William Saliba,2,1,2,0,0,0,0,1,1,0
