,player,tkl,tklw,def3rd,mid3rd,att3rd,att,lost,blocks,sh,pass
0,Ben White,2,2,1,1,0,2,1,0,0,0
1,Gabriel Magalhães,2,2,0,2,0,1,0,2,2,0
2,Oleksandr Zinchenko,2,1,1,1,0,2,0,3,0,3
3,William Saliba,0,0,0,0,0,0,0,0,0,0
